DATA,Precipitacao,P_atm,Temp_ar,Umid_ar,Populacao,Veiculos,PTS,MP10,O3
6/2016,95,920.1,20.7,60.1,667541,437790,57.36,34.28,
7/2016,0,920.8,21.3,46,668165,439049,73.95,50.89,
8/2016,61,919.4,22.6,45.2,668788,440295,79.55,107.18,
9/2016,6,918.4,24.8,41.8,669411,441529,97.57,110.52,
10/2016,199,915.9,25.2,51.5,670033,442750,60.77,70.68,
11/2016,285,915,23.4,67.4,670654,443959,50.21,57.85,
12/2016,416,915.6,24,71.7,671274,445155,45.76,70.24,
1/2017,289,915.8,24.2,71.3,671893,446338,44.39,47.06,
2/2017,265,916.4,24.6,67,672511,447509,44.81,48.59,
3/2017,288,916.3,24.4,67.9,673129,448668,58.89,34.88,
4/2017,72,916.8,24,64.1,673746,449813,50.03,49.22,
5/2017,104,917.9,22.7,67.1,674362,450947,72.35,42.93,
6/2017,0,919.8,21.5,58.2,674977,452068,43.8,74.17,
7/2017,0,922.9,19.1,51.3,675591,453176,66.1,85.56,
8/2017,0,920.1,21.8,44.6,676204,454272,59.34,81.45,
9/2017,0,919.8,24.5,30.9,676817,455355,71.71,68.1,
10/2017,104,916.5,25.7,42.5,677429,456426,80.65,61.94,77.24
11/2017,404,914.3,23.8,66.5,678040,457484,55.71,61.11,60.62
12/2017,315,914.6,23.6,74.2,678650,458530,18.37,58.91,31.34
1/2018,321,916.1,24.5,66.1,679259,459563,25.32,,
2/2018,254,914.4,24,72.7,679868,460583,,,
3/2018,179,915.3,24.8,71.2,680475,461592,,,
4/2018,113,917.6,23.2,65.9,681082,462587,,,
5/2018,45,919.1,22.2,57.1,681688,463570,,,
6/2018,0,920.8,21.5,56.8,682293,464541,,,
7/2018,0,920.2,21.6,44.8,682898,465499,,,
8/2018,14,919.7,22.4,43.3,683501,466444,,,
9/2018,51,917.8,23.2,48.2,684104,467377,,,
10/2018,193,915.5,25.6,56.5,684706,468297,,,
11/2018,438,915.4,23.3,75.1,685307,469205,,,
12/2018,562,916.3,24.4,64.5,685907,470100,,,
1/2019,203,917,25.1,63.7,686506,470983,,,
2/2019,275,916.3,25,64.6,687105,471853,,,
3/2019,202,916.7,24.2,71.2,687703,472711,,,
4/2019,88,917,24.3,65.6,688300,473556,,,
5/2019,88,918,23.5,64,688896,474389,,,
6/2019,0,920.4,21.6,53.8,689491,475209,,,
7/2019,0,920.1,20.6,48.7,690085,476017,,,
8/2019,9,921.3,22.4,45.2,690679,476812,,,
9/2019,0,918.3,26.7,32.4,691272,477594,,,77.11
10/2019,124,916.3,25.8,48.7,691864,478364,,,75.14
11/2019,175,915,25.3,58.9,692455,479122,,,62.49
12/2019,644,915.2,23.7,73.4,693045,479867,,,
1/2020,386,915,24.8,69.5,693635,480599,,,56.76
2/2020,393,915.7,23.9,74.7,694223,481319,,,
3/2020,361,916.3,24,69.5,694811,482026,,,
4/2020,86,917.2,23.6,66.8,695398,482721,,,36.13
5/2020,0,919.5,21.7,60.4,695984,483403,,,49.52
6/2020,0,920.3,20.2,59.7,696569,484073,88.09,,48.52
7/2020,0,919.3,21.2,50.8,697154,484730,74.19,30.49,42.16
8/2020,0,920.2,22.1,44.4,697738,485375,80.18,26.64,50.7
9/2020,0,918.3,25.1,32.6,698320,486007,,28.8,61.13
10/2020,75,916.5,27,43.3,698902,486627,,30.07,71.46
11/2020,175,914.3,24.1,60.7,699484,487234,,15.64,62.39
12/2020,691,916.1,24.5,64.3,700064,487828,,12.86,48.81
1/2021,307,915.3,24,70.2,700643,488410,54.17,17.14,42.93
2/2021,221,914.8,24.5,64.3,701222,488980,39.61,11.17,34.69
3/2021,375,915.8,23.5,70.1,701800,489537,49.19,14.74,35.13
4/2021,59,916.9,24.2,55.9,702377,490081,63.34,22.02,58.79
5/2021,,,,,702953,490613,,,
6/2021,,,,,703529,491133,,,
7/2021,,,,,704103,491639,,,
8/2021,,,,,704677,492134,,,
9/2021,,,,,705250,492615,,,
10/2021,,,,,705822,493085,,,
11/2021,,,,,706393,493541,,,
12/2021,,,,,706964,493986,,,
